Live Chat ID,Channel ID,Live Chat Create Timestamp,Price,Video ID,Live Chat Text
UgyXm0Yu6zP-_Q9ZbYt4AaABDqgBkKCqmgI,UCVQm2V0CZdNH6k5Eszq6w0w,2021-05-04T11:40:13.51346+00:00,0,KE_jqmKJ_C8,"{""text"":""what is the attendance code🌝""}"
UgwQiDRiqagQBdgx0Yd4AaABDqgBp-rghwI,UCVQm2V0CZdNH6k5Eszq6w0w,2021-05-04T10:26:46.848836+00:00,0,KE_jqmKJ_C8,"{""text"":""discord code""}"
UgxOTlBGEq3VwgFsH2d4AaABDqgBs4r6hAI,UCVQm2V0CZdNH6k5Eszq6w0w,2021-01-12T12:10:30.534759+00:00,0,5biZ8QO1UpM,"{""text"":""oh i wish they'd just start the class already""}"





