Channel Id,Channel Url,Channel Title
UC1dKnMpbZ-XDp_OhcSWoXoA,http://www.youtube.com/channel/UC1dKnMpbZ-XDp_OhcSWoXoA,Kevin O'Leary
UC1dv-pI7PI9jTCLVCPAotUA,http://www.youtube.com/channel/UC1dv-pI7PI9jTCLVCPAotUA,lseinjr1
UC1fLEeYICmo3O9cUsqIi7HA,http://www.youtube.com/channel/UC1fLEeYICmo3O9cUsqIi7HA,Nick White
UC1q2FdkcQ4qIxXzj3KQ1HYA,http://www.youtube.com/channel/UC1q2FdkcQ4qIxXzj3KQ1HYA,Wael Yasmina
UC1ts2Ar2cVWYCac-KAaTrWQ,http://www.youtube.com/channel/UC1ts2Ar2cVWYCac-KAaTrWQ,XYZAidan
UC1uHIFOkbxCtAG_OFQNA6JQ,http://www.youtube.com/channel/UC1uHIFOkbxCtAG_OFQNA6JQ,InOutNetwork
UC1zZE_kJ8rQHgLTVfobLi_g,http://www.youtube.com/channel/UC1zZE_kJ8rQHgLTVfobLi_g,TKOR
UC29BKw2DaNMQe2B90QRVCNw,http://www.youtube.com/channel/UC29BKw2DaNMQe2B90QRVCNw,Billy Graham Evangelistic Association
UC2Bm4qXVUx9Md-hmHz3WuXw,http://www.youtube.com/channel/UC2Bm4qXVUx9Md-hmHz3WuXw,Vanessa Wingårdh
UC2C_jShtL725hvbm1arSV9w,http://www.youtube.com/channel/UC2C_jShtL725hvbm1arSV9w,CGP Grey
UC2Ds30pkifFVD0CE08wF50g,http://www.youtube.com/channel/UC2Ds30pkifFVD0CE08wF50g,Daidus
UC2GuY-AxnNxIJFAVfEW0QFA,http://www.youtube.com/channel/UC2GuY-AxnNxIJFAVfEW0QFA,APMonitor.com
UC2Ivwd5sPzeBPgn24NzM1lQ,http://www.youtube.com/channel/UC2Ivwd5sPzeBPgn24NzM1lQ,Stevie Emerson
UC2J-0g_nxlwcD9JBK1eTleQ,http://www.youtube.com/channel/UC2J-0g_nxlwcD9JBK1eTleQ,Auto Focus
UC2KjldN8pnX4FCNfVOlXUeA,http://www.youtube.com/channel/UC2KjldN8pnX4FCNfVOlXUeA,CodeTrading
UC2LZO6swZ9SLUEOks3WnsfA,http://www.youtube.com/channel/UC2LZO6swZ9SLUEOks3WnsfA,2veritasium
UC2O2xML7kL6Rbv3fjyi74xA,http://www.youtube.com/channel/UC2O2xML7kL6Rbv3fjyi74xA,Zach Star Himself
UC2PA-AKmVpU6NKCGtZq_rKQ,http://www.youtube.com/channel/UC2PA-AKmVpU6NKCGtZq_rKQ,Philosophy Tube
UC2WHjPDvbE6O328n17ZGcfg,http://www.youtube.com/channel/UC2WHjPDvbE6O328n17ZGcfg,ForrestKnight
UC2Xd-TjJByJyK2w1zNwY0zQ,http://www.youtube.com/channel/UC2Xd-TjJByJyK2w1zNwY0zQ,Beyond Fireship
UC2_KC8lshtCyiLApy27raYw,http://www.youtube.com/channel/UC2_KC8lshtCyiLApy27raYw,KnowledgeHusk
UC2avWDLN1EI3r1RZ_dlSxCw,http://www.youtube.com/channel/UC2avWDLN1EI3r1RZ_dlSxCw,Integza
UC2bNrKQbJLphxNCd6BSnTkA,http://www.youtube.com/channel/UC2bNrKQbJLphxNCd6BSnTkA,Karikku
UC2hxYQtGLEkcOMK4h8JRycA,http://www.youtube.com/channel/UC2hxYQtGLEkcOMK4h8JRycA,Stack Overflow
UC2lvPVVm0Mv53QK7vdnC-rw,http://www.youtube.com/channel/UC2lvPVVm0Mv53QK7vdnC-rw,SpineCare Decompression and Chiropractic Center
UC341O4KmHV9gZL41V5FZtGA,http://www.youtube.com/channel/UC341O4KmHV9gZL41V5FZtGA,Right To Protein South Asia
UC3ETCazlHenpXEsrEJH-k5A,http://www.youtube.com/channel/UC3ETCazlHenpXEsrEJH-k5A,The Anime Man
UC3ExA2UJsH7Yho028AdtkBA,http://www.youtube.com/channel/UC3ExA2UJsH7Yho028AdtkBA,Rc action homemade
UC3HjOlfXBQJO12-YhumbJCg,http://www.youtube.com/channel/UC3HjOlfXBQJO12-YhumbJCg,Aztrosist
UC3KEoMzNz8eYnwBC34RaKCQ,http://www.youtube.com/channel/UC3KEoMzNz8eYnwBC34RaKCQ,Simone Giertz
UC3QqyWSWgHTLJYc0Wm8agaA,http://www.youtube.com/channel/UC3QqyWSWgHTLJYc0Wm8agaA,Crash Makerspace
UC3_AWXcf2K3l9ILVuQe-XwQ,http://www.youtube.com/channel/UC3_AWXcf2K3l9ILVuQe-XwQ,Matthias random stuff
UC3dZQdfv67X49cZkoXWYSwQ,http://www.youtube.com/channel/UC3dZQdfv67X49cZkoXWYSwQ,TMP Chem
UC3ifTl5zKiCAhHIBQYcaTeg,http://www.youtube.com/channel/UC3ifTl5zKiCAhHIBQYcaTeg,Proximity
UC3kf-QFT6FZzDk9JsPg8Svg,http://www.youtube.com/channel/UC3kf-QFT6FZzDk9JsPg8Svg,Hello Interview - SWE Interview Preparation
UC3w193M5tYPJqF0Hi-7U-2g,http://www.youtube.com/channel/UC3w193M5tYPJqF0Hi-7U-2g,Dr. Eric Berg DC
UC3x3aPLpC8QW5hYg83wmGaQ,http://www.youtube.com/channel/UC3x3aPLpC8QW5hYg83wmGaQ,Osro
UC3yasGCIt1rmKnZ8PukocSw,http://www.youtube.com/channel/UC3yasGCIt1rmKnZ8PukocSw,Simple Electronics
UC4-79UOlP48-QNGgCko5p2g,http://www.youtube.com/channel/UC4-79UOlP48-QNGgCko5p2g,MrBeast 2
UC4BZtFgtCuHUt0p8J-XENiA,http://www.youtube.com/channel/UC4BZtFgtCuHUt0p8J-XENiA,E;R
UC4DwZ2VXM2KWtzHjVk9M_xg,http://www.youtube.com/channel/UC4DwZ2VXM2KWtzHjVk9M_xg,blondiebytes
UC4F3j3ed_To-M3H2YLLD5vw,http://www.youtube.com/channel/UC4F3j3ed_To-M3H2YLLD5vw,secureteam10
UC4JX40jDee_tINbkjycV4Sg,http://www.youtube.com/channel/UC4JX40jDee_tINbkjycV4Sg,Tech With Tim
UC4KXPjmKwPutGjwFZsEXB5g,http://www.youtube.com/channel/UC4KXPjmKwPutGjwFZsEXB5g,Jeremy Blum
UC4QZ_LsYcvcq7qOsOhpAX4A,http://www.youtube.com/channel/UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion
UC4a-Gbdw7vOaccHmFo40b9g,http://www.youtube.com/channel/UC4a-Gbdw7vOaccHmFo40b9g,Khan Academy
UC4f-ZK1IHG8MGZ8ch8Wp_IA,http://www.youtube.com/channel/UC4f-ZK1IHG8MGZ8ch8Wp_IA,Nirmal Pillai
UC4gbCGiEov1VAcOFpfGKPiA,http://www.youtube.com/channel/UC4gbCGiEov1VAcOFpfGKPiA,Built IRL
UC4pNDofN0Xh-z2bhh62g8Ow,http://www.youtube.com/channel/UC4pNDofN0Xh-z2bhh62g8Ow,Not What You Think
UC51bU7uJjsdcIEUzY1HHZsA,http://www.youtube.com/channel/UC51bU7uJjsdcIEUzY1HHZsA,GV (Google Ventures)
UC58znoFTA2_8qnXIkOC75JQ,http://www.youtube.com/channel/UC58znoFTA2_8qnXIkOC75JQ,Sam Cornforth
