Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text,Top-Level Comment ID
UgxkI4i29THOk9ZEuJ14AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2025-11-10T08:52:12.731742+00:00,0,,eUG6r8ixngs,"{""text"":""You don't have to pump out new videos every now and then you know.""},{""text"":""\n""},{""text"":""This video is about nothing.""},{""text"":""\n""},{""text"":""Let google ship whenever they wanna ship.""}",
UgzdQy4f4vkfTZBxgMd4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2025-11-08T18:09:24.1908+00:00,0,,fIcWfHikAOo,"{""text"":""Only yesterday I wished Mr Bagel would come out with a cutting through the chaos video. And Mr Bagel has already delivered.""}",
UgxT2gJEsQ_GcAVTFAV4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2025-11-03T02:50:14.476413+00:00,0,,7KbGulTc4TY,"{""text"":""I pay $1700-2100 for a 3 bedroom in Arizona. Aren't the same materials used to build stuff in New York? Why is $4000 for a 3bedroom cheap in New York?""}",
UgzisXKh5Xqwkz0XAKF4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2025-11-02T00:40:20.141936+00:00,0,,9HC13nBIS7g,"{""text"":""Mrs Frieren, hit em with a Zoltraak would you?""}",
UgzP8CfD4t-IMmrITCd4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2025-10-31T22:12:58.097376+00:00,0,,qw4fDU18RcU,"{""text"":""My god. Pewds is progressing so fast""},{""text"":""\n""},{""text"":""The council was a cool idea""}",
UgwUNk0tcLpY5aa-_3x4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2025-10-23T02:58:54.240401+00:00,0,,zjOD6tFYt0A,"{""text"":""I'm not subscribing to anything but,   there's probably kohler servers that costs them money. and it's kinda expensive to analyze video data. But there probably is a way to make this cheaper though.""},{""text"":""\n""},{""text"":""$600 dollars could come down to $0 and then just keep the subscription to make money. ""},{""text"":""\n""},{""text"":""But we probably aren't the target audience, it's probably someone with lots of money to spend.""}",
UgzKdj9thZh_wrz6iT14AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2025-10-13T19:36:22.795725+00:00,0,,PUtG4Zmd_AY,"{""text"":""Hey.. you should cut out most of the explanation and personal stuff and just keep the information about the extensions.""}",
UgwufSiUbDe4w4EdslN4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2025-09-30T21:36:16.471621+00:00,0,,uZBjVeyiYkk,"{""text"":""Every theo video is just him reading some documents and reacting to it""}",
UgyBOh3VaprKUY7FYaV4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2025-09-05T22:11:35.247426+00:00,0,, -k6czLUdJPI,"{""text"":""Omg. That was amazing!!""},{""text"":""\n""},{""text"":""My mind was partially blown""}",
UgzyCH34zCllP4daKxB4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2025-09-01T05:42:53.152038+00:00,0,,qE_3fjULMiA,"{""text"":""Why are you asking gambling addicts about the reserve currency""}",
