Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text,Top-Level Comment ID
UgzDC6HkVKKj2kJohPR4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2021-12-16T18:09:38.900673+00:00,0,,wdMHzJvGi7o,"{""text"":""Perhaps he meant to say:""},{""text"":""\n""},{""text"":""More shit like this happens in big cities, but they do in turn offer a lot of opportunities to people who live there. More career opportunities etc""},{""text"":""\n""},{""text"":""And hence LA isn't as shit as described by Casey""},{""text"":""\n""},{""text"":""..Haven't read the tweet myself though..""}",
UgxkJpBbqel_i1P_upx4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2021-12-07T21:02:26.983+00:00,0,,K6FlJn3Y70g,"{""text"":""This video is stupid. Also please explain faster, far too much time wasted on small insignificant details""}",
UgyJNXodMaux9I9WHc54AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2021-12-07T19:11:31.196178+00:00,0,,c2TvRZto2cM,"{""text"":""Hm.. ya know.. It's possible that pewd's videos could be more enjoyable if he got an editor who gets at least his sense of humour""}",
Ugx0y7aTnYJ8iziRu3t4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2021-11-28T20:03:15.540781+00:00,0,,DTLU06IlPVo,"{""text"":""This video wasted a lot of time""}",
UgykehnbG3onQBMVAAZ4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2021-11-21T10:40:02.976325+00:00,0,,v6025_yK02U,"{""text"":""Just start a second company. Close the company after you leave apple repair program""},{""text"":""\n""},{""text"":""They can't something that does not exist""},{""text"":""\n""},{""text"":""Send you screen repair customers over to your second company""}",
UgwVcEMYmrRgVtxk_wt4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2021-11-13T16:46:01.223894+00:00,0,,BuZI9CeXow0,"{""text"":""Such good acting by Jake gyllenhaal""}",
UgxM769vpnrecg-BCGN4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2021-10-19T12:58:47.648257+00:00,0,,yQBowUl1nH4,"{""text"":""Hm... there's really.. not much to see, in this video..""}",
UgwjR9gR2FrSvLu7mmV4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2021-09-03T11:29:59.052305+00:00,0,,DoK3-9V5HRE,"{""text"":""Really helpful""}",
Ugy_lGNKTCXhW6FpJZh4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2021-08-26T05:14:02.876231+00:00,0,,PJfY4QJ9FtU,"{""text"":""Boring""}",
UgxgUt8iWNNV0-Eeh1V4AaABAg,UCVQm2V0CZdNH6k5Eszq6w0w,2021-08-08T20:13:45.000942+00:00,0,,pbxU_v5kR8A,"{""text"":""This is awesome""}",
