,altitude,date_time,device_info_serial,direction,latitude,longitude,speed_2d,bird_name
0,71,2013-08-15 00:18:08+00,851,-150.469753064251,49.419859499999994,2.1207332,0.15,Eric
1,68,2013-08-15 00:48:07+00,851,-136.151141015863,49.4198799,2.120746,2.43836010466051,Eric
2,68,2013-08-15 01:17:58+00,851,160.797477305274,49.4203105,2.1208847,0.596657355607052,Eric
3,73,2013-08-15 01:47:51+00,851,32.7693602650646,49.4203586,2.120859,0.31016124838541603,Eric
4,69,2013-08-15 02:17:42+00,851,45.1912295111051,49.420331299999994,2.1208865,0.19313207915828,Eric
5,54,2013-08-15 02:47:38+00,851,-46.344477629808104,49.4203748,2.1208398999999996,2.90477193597019,Eric
6,57,2013-08-15 03:02:33+00,851,-56.3699222776221,49.4203523,2.1209006,3.08058436014987,Eric
7,65,2013-08-15 03:17:27+00,851,-79.1702269223024,49.4203425,2.1208091000000002,2.19965906449159,Eric
8,59,2013-08-15 03:32:35+00,851,-57.682427880594396,49.4203195,2.1208603999999998,2.6400757564888195,Eric
9,107,2013-08-15 03:47:48+00,851,119.604738503387,49.420286499999996,2.1213013,4.592210796555401,Eric
10,61,2013-08-15 04:03:39+00,851,-119.371359648197,49.4203351,2.1208502,0.23021728866442698,Eric
11,56,2013-08-15 04:18:40+00,851,-130.03311861123998,49.42085720000001,2.1212357,0.622414652783817,Eric
12,57,2013-08-15 04:33:53+00,851,-110.181447871179,49.4209551,2.1213622,1.8976301009417,Eric
13,68,2013-08-15 04:49:06+00,851,-105.55037346991399,49.425733,2.1529453999999997,1.2753430910935302,Eric
14,74,2013-08-15 05:04:45+00,851,-50.4798220961623,49.4257764,2.1529886,1.63465592709903,Eric
15,78,2013-08-15 05:20:09+00,851,-75.137715026099,49.4257494,2.1530522000000003,0.152315462117278,Eric
16,77,2013-08-15 05:35:04+00,851,132.09728627278201,49.4257417,2.1530974,1.18848643240047,Eric
17,72,2013-08-15 05:49:58+00,851,-69.25909528727139,49.42579,2.1529929,1.00647901120689,Eric
18,74,2013-08-15 06:04:56+00,851,-7.47807251347759,49.4258178,2.1530093,1.4385061696078998,Eric
19,93,2013-08-15 06:19:54+00,851,71.02650367065941,49.4294224,2.1628171000000003,8.90107858632874,Eric
20,84,2013-08-15 06:34:50+00,851,156.082032212127,49.4366665,2.1938755000000003,0.850058821494136,Eric
21,90,2013-08-15 06:49:43+00,851,-169.160500418938,49.4367554,2.19488,0.0223606797749979,Eric
22,84,2013-08-15 07:04:40+00,851,-141.851515799853,49.436714200000004,2.1948623,1.0167103815738299,Eric
23,85,2013-08-15 07:19:35+00,851,-78.4203440932437,49.436761499999996,2.1948357000000005,3.2091431878306698,Eric
24,87,2013-08-15 07:34:31+00,851,-154.11773017253,49.43670529999999,2.1948661,0.598163857149527,Eric
25,149,2013-08-15 07:49:29+00,851,111.239896698642,49.434398200000004,2.2342231,10.061138106596099,Eric
26,90,2013-08-15 08:04:56+00,851,177.889054437887,49.3890273,2.2479799,0.0707106781186548,Eric
27,56,2013-08-15 08:19:52+00,851,179.614500136228,49.3798818,2.2245809,8.7810306912116,Eric
